name;lat;lon
Бизнес.Техноград;55.839511099999996;37.62154339999999
Бородино Плаза;55.7844577;37.6734077
Бронная плаза;55.76541099999999;37.59090110000001
Бюро ЮНЕСКО в Москве;55.74174639999999;37.58730630000001
Бюро пропусков;55.579506599999995;37.469780699999994
ВНИИ Эталон;55.7827312;37.584052899999996
ВНИИстройдормаш;55.8245783;37.429257199999995
Внешэкономбанк;55.7721381;37.644924
Всероссийский научно-исследовательский институт минерального сырья им. Н.М.Федоровского;55.738305999999994;37.62122109999999
Всероссийский научно-исследовательский институт технической эстетики;55.8300884;37.6214314
Всероссийский научно-исследовстельский институт труда;55.75723219999999;37.6544181
Вторая проходная;55.70345099999999;37.6419537
ГАУ Медиацентр;55.7994288;37.7056579
ГЛОНАСС;55.7678692;37.679949799999996
ГТРК Культура;55.75925229999999;37.5884305
"ГУ ""ИПГ""";55.833260800000005;37.665797
ГУ МВД России по Московской области;55.75635570000001;37.6089969
"ГУП ""Московский метрополитен""";55.78174740000001;37.6326162
ГУП Автокомбинат санитарного транспорта «Мосавтосантранс» – автобаза № 2;55.6157633;37.609784499999996
ГУП Мосгортранс;55.74749329999999;37.6340396
ГУП г. Москвы ДЕЗ района Чертаново Центральное;55.6189697;37.6032623
Гарант;55.7085801;37.5218508
Геологический институт РАН;55.7389143;37.6213051
Гиперкуб;55.6965732;37.3559128
Главное управление МВД РФ по Центральному федеральному округу;55.8119124;37.5905597
Главный вычислительный центр РЖД;55.7701616;37.6523896
Город Столиц - Москва;55.7475642;37.53879559999999
Город Столиц - Санкт-Петербург;55.747344700000006;37.5385673
Городская усадьба Долгоруких;55.75822479999999;37.5869251
Государственная Дума;55.757873200000006;37.61574259999999
Государственная дума (второе здание);55.7583891;37.6150017
Государственный дом радиовещания и звукозаписи;55.75943279999999;37.58751869999999
Государственный институт искусствознания;55.7650062;37.609401399999996
Гранд Сетунь Плаза;55.7263396;37.399433499999994
Группа компаний ПИК;55.76033029999999;37.579905399999994
ДЕЗ Ивановское;55.7621254;37.833102399999994
"Деловой центр ""Денисовский 26""";55.766737000000006;37.6764773
"Деловой центр ""Калибр""";55.80938079999999;37.6284224
"Деловой центр ""Кузнецкий мост 17""";55.76246780000001;37.62479429999999
"Деловой центр ""Ситидел""";55.7615984;37.6586207
"Деловой центр ""Чайка""";55.782552200000005;37.6298631
"Деловой центр ""на Цветном бульваре""";55.7713304;37.6227264
Деловой центр «Гелиос Сити»;55.75015;37.77040949999999
Деловой центр «Лубянский»;55.75659559999998;37.632813299999995
Дендрарий Ботанического сада МГУ;55.7065704;37.5279466
Департамент жилищной политики и жилищного фонда города Москвы;55.75676270000001;37.6066875
Департамент здравоохранения г. Москвы;55.7761832;37.608898999999994
Диана;55.476561499999995;37.3018419
Диасофт;55.7983274;37.6061044
Дирекция железнодорожных вокзалов;55.7378168;37.6960538
Дирекция заказчика жилищно-комунального хозяйства и благоустройства Северо-западного административного округа;55.854170599999996;37.4254734
"Диспетчерская к/ст ""138 квартал Выхино""";55.6930819;37.816976399999994
Диспетчерский пункт ГКУ ЦОДД;55.878571699999995;37.72143890000001
