atm_id;bank;lat;lon
474;Sber;55.6744824;37.7605851
475;Sber;55.7838628;37.480223
476;Sber;55.8509781;37.3526533
477;Sber;55.6105093;37.7400803
478;Sber;55.7907628;37.600069
479;Sber;55.6169135;37.7278025
480;Sber;55.6254537;37.7158838
481;Sber;55.6501942;37.4693007
482;Sber;55.6223551;37.7014823
483;Sber;55.622348;37.7014866
484;Sber;55.6223615;37.7014773
485;Sber;55.8029706;37.4029632
486;Sber;55.8385014;37.3795728
487;Sber;55.8384943;37.3795605
488;Sber;55.6039434;37.7360581
489;Sber;55.6045446;37.7388045
490;Sber;55.6731231;37.7501292
491;Sber;55.7592135;37.6250685
492;Sber;55.6865378;37.7364375
493;Sber;55.6355973;37.7415917
494;Sber;55.7859917;37.6602318
495;Sber;55.8214208;37.7336281
496;Alfa-Bank;55.7930282;37.5599149
497;Sber;55.7922576;37.7805604
498;Sber;55.8562377;37.4787607
499;Sber;55.6097034;37.7196376
500;Alfa-Bank;55.6096924;37.7196621
501;Sber;55.7769254;37.6571896
502;Sber;55.8697882;37.6793021
503;Sber;55.7624721;37.5856058
504;Sber;55.8084292;37.5292915
505;Sber;55.7141572;37.8175238
506;Sber;55.7140518;37.8119012
507;Sber;55.7318339;37.6644114
508;Sber;55.7344203;37.6849754
509;Sber;55.7378365;37.6869477
510;Sber;55.7733361;37.6055333
511;Sber;55.7973582;37.4027255
512;Sber;55.9878315;37.2335909
513;Sber;55.8781842;37.7307484
514;Sber;55.7738051;37.6126727
515;Sber;55.7031017;37.5542414
516;Sber;55.8002153;37.59465
517;Sber;55.8866302;37.6604525
518;Sber;55.7769209;37.5814314
519;Sber;55.7769225;37.58141
520;Sber;55.7769241;37.5813886
521;Sber;55.5957479;37.2080754
522;Sber;55.6442304;37.5266031
523;Sber;55.6084135;37.2819305
524;Sber;55.7207778;37.7873307
525;Sber;55.8906178;37.5329675
526;Sber;55.8906958;37.5353057
527;Sber;55.6837497;37.550853
528;Sber;55.6068574;37.3320298
529;Sber;55.5666562;37.4827467
530;Sber;55.728756;37.6434576
531;Sber;55.8662957;37.4424628
532;Sber;55.6444413;37.2684865
533;Sber;55.792598;37.6772656
534;Sber;55.7899929;37.380509
535;Alfa-Bank;55.7906934;37.5285099
536;Sber;55.7757883;37.708589
537;Sber;55.7167739;37.7452817
538;Sber;55.8023415;37.4840618
539;Sber;55.6408424;37.3651008
540;Sber;55.6365514;37.331272
541;Sber;55.7850278;37.3578001
542;Sber;55.7850208;37.3578157
543;Alfa-Bank;55.8469097;37.3618251
544;Alfa-Bank;55.8468932;37.3617956
545;Sber;55.7200156;37.4009215
546;Sber;55.4299528;36.863581
547;Sber;55.6385471;37.3580205
548;Sber;55.8459685;37.3634666
549;Sber;55.6825053;37.6625732
550;Sber;55.5263317;37.4507951
551;Sber;55.7064677;37.9307532
552;Sber;55.8709567;37.6434852
553;Sber;55.8697332;37.6660587
554;Sber;55.8516986;37.5117049
555;Sber;55.8227333;37.7540519
556;Sber;55.7709488;37.634319
557;Sber;55.8637003;37.5692967
558;Sber;55.8350825;37.6232365
559;Sber;55.7305091;37.6454116
560;Alfa-Bank;55.730513;37.6453936
561;Alfa-Bank;55.7213598;37.6130596
562;Sber;55.8090887;37.3957043
563;Sber;55.6818716;37.8532436
564;Sber;55.5569891;37.5544387
565;Sber;55.613505;37.6058865
566;Sber;55.5787629;37.6659216
567;Sber;55.8362606;37.3555125
568;Sber;55.8362516;37.3555487
569;Sber;55.836244;37.3555823
570;Sber;55.7828469;37.7059266
571;Alfa-Bank;55.8526486;37.3520176
572;Sber;55.7006362;37.7420226
573;Sber;55.6999304;37.6459776
574;Sber;55.8496603;37.521185
575;Sber;55.7210739;37.5604339
576;Sber;55.7734958;37.6654679
577;Alfa-Bank;55.6288871;37.6339084
578;Sber;55.6034088;37.6076956
579;Sber;55.7162178;37.6651439
580;Sber;55.8919085;37.5522403
581;Sber;55.7669086;37.6652144
582;Sber;55.842259;37.5020744
583;Sber;55.7022621;37.9451678
584;Sber;55.5984849;37.55429
585;Gazprombank;55.7821606;37.5987359
586;Gazprombank;55.7821647;37.5987379
587;Sber;55.7408316;37.6579623
588;Sber;55.7407671;37.657894
589;Sber;55.8028282;37.7470541
590;Sber;55.7434526;37.6357167
591;Sber;55.5996244;37.6083148
592;Sber;55.647478;37.6636161
593;Sber;55.8081134;37.5741993
594;Sber;55.7174926;37.6465919
595;Alfa-Bank;55.7352047;37.6190417
596;Sber;55.5966902;37.1143282
597;Sber;55.5814667;37.6742225
598;Sber;55.5825083;37.6711951
599;Sber;55.7411919;37.8186887
600;Sber;55.7299156;37.6413046
601;Sber;55.72968;37.6402706
602;Sber;55.603728;37.5230184
603;Sber;55.7961138;37.6000337
604;Sber;55.7161265;37.456724
605;Sber;55.615663;37.2634258
606;Sber;55.7531507;37.5954027
607;Alfa-Bank;55.6222301;37.6680393
608;Sber;55.6263975;37.6664343
609;Alfa-Bank;55.8093986;37.4602404
610;Sber;55.7896688;37.7521591
611;Sber;55.6244236;37.5085657
612;Sber;55.8467248;37.3619331
613;Sber;55.7254745;37.6219024
614;Sber;55.7124403;37.6206746
615;Sber;55.7192686;37.7786431
616;Sber;55.6931915;37.53385
617;Sber;55.7352568;37.6190099
618;Sber;55.7240041;37.4527969
619;Sber;55.6647869;37.4819164
620;Sber;56.0069833;37.156798
621;Sber;55.8474163;37.3523536
622;Sber;55.8474089;37.3523684
623;Sber;55.8474005;37.3523851
624;Sber;55.7412809;37.6288608
625;Sber;55.8512122;37.4669873
626;Alfa-Bank;55.8878479;37.6395994
627;Sber;55.8879645;37.6383689
628;Sber;55.8697327;37.6658468
629;Sber;55.8395628;37.3518822
630;Alfa-Bank;55.8395131;37.352078
631;Sber;55.8395418;37.3518942
632;Sber;55.8497672;37.43508
633;Sber;55.7096133;37.6221412
634;Sber;55.7096012;37.6222924
635;Sber;55.8049164;37.4910556
636;Sber;55.806489;37.4803287
637;Sber;55.7220147;37.905276
638;Sber;55.7707639;37.7153236
639;Sber;55.7007511;37.6321002
640;Sber;55.6068617;37.5361597
641;Sber;55.6103755;37.5514156
642;Sber;55.8907882;37.5584149
643;Alfa-Bank;55.7728875;37.6636836
644;Alfa-Bank;55.8002034;37.5944884
645;Sber;55.8002153;37.5946791
646;Sber;55.8002145;37.5946172
647;Sber;55.8050643;37.81907
648;Sber;55.8790887;37.479074
649;Sber;55.7601938;37.6256244
650;Alfa-Bank;55.7602557;37.6256381
651;Sber;55.7376079;37.470391
652;Alfa-Bank;55.7376088;37.4704114
653;Sber;55.6962141;37.5132174
654;Alfa-Bank;55.7444742;37.5656753
655;Sber;55.6759442;37.6618745
656;Alfa-Bank;55.6826836;37.7229818
657;Sber;55.6823011;37.724826
658;Sber;55.6902314;37.5952736
659;Sber;55.8828658;37.495903
660;Alfa-Bank;55.8109337;37.4037247
661;Sber;55.8108849;37.4035573
662;Alfa-Bank;55.8136622;37.6043397
663;Sber;55.8138453;37.6045007
664;Sber;55.7860424;37.6345655
665;Sber;55.6912325;37.3473633
666;Sber;55.8226894;37.5895178
667;Alfa-Bank;55.8226721;37.5894696
668;Sber;55.7409107;37.8600965
669;Sber;55.8419703;37.5691599
670;Sber;55.8469729;37.5686958
671;Sber;55.6081842;37.7225286
672;Sber;55.772823;37.6636841
673;Sber;55.5678336;37.4777777
674;Alfa-Bank;55.5663926;37.4829677
675;Sber;55.6564393;37.5699705
676;Sber;55.6408452;37.5314722
677;Sber;55.7772805;37.6283382
678;Sber;55.7423132;37.5309945
679;Alfa-Bank;55.843349;37.490998
680;Alfa-Bank;55.8817818;37.4885753
681;Sber;55.8630627;37.5851604
682;Sber;55.6776602;37.5066365
683;Sber;55.6476248;37.4799937
684;Sber;55.7027231;37.4665172
685;Sber;55.7733544;37.6054944
686;Sber;55.7733567;37.6055253
687;Sber;55.3167082;37.138254
688;Sber;55.6576001;37.7086398
689;Sber;55.7384912;37.5255429
690;Sber;55.8157839;37.8114347
691;Alfa-Bank;55.7682667;37.6196869
692;Sber;55.6020922;37.4986879
693;Alfa-Bank;55.8382106;37.5766305
694;Sber;55.8124877;37.737999
695;Sber;55.8455451;37.6397162
696;Sber;55.6061276;37.2855263
697;Sber;55.7363946;37.654885
698;Sber;55.7054164;37.6708055
699;Sber;55.7276056;37.6712473
700;Sber;55.7648684;37.7014343
701;Sber;55.7465061;37.6736718
702;Sber;55.7678781;37.6230745
703;Sber;55.6067837;37.5133265
704;Alfa-Bank;55.7554598;37.6206876
705;Sber;55.75503;37.6212235
706;Alfa-Bank;55.6039633;37.491858
707;Sber;55.6307354;37.6588396
708;Sber;55.6003795;37.5074058
709;Sber;55.6628338;37.5365791
710;Alfa-Bank;55.771682;37.5837239
711;Sber;55.7406841;37.6578475
712;Sber;55.7438046;37.8633122
713;Tinkoff;55.4702191;37.2904247
714;Sber;55.7666687;37.6218919
715;Sber;55.583966;37.599016
716;Sber;55.729982;37.6683964
717;Sber;55.7646055;37.5642663
718;Sber;55.6384157;37.3075268
719;Sber;55.6319312;37.5198486
