university;lat;lon
Московский государственный строительный университет;55.85606;37.6942349
Московский государственный технический университет гражданской авиации;55.84210110000001;37.5067345
Московский государственный технологический университет «Станкин»;55.7633917;37.6634677
Московский государственный университет геодезии и картографии;55.763789800000005;37.6622239
Московский государственный университет им. М. В. Ломоносова;55.725224;37.5597126
Московский государственный университет природообустройства;55.83886059999999;37.5484063
Московский государственный университет технологий и управления имени К. Г. Разумовского;55.74598769999999;37.65603879999999
Московский государственный юридический университет имени О. Е. Кутафина;55.7620934;37.586005
Московский государственный юридический университет имени О. Е. Кутафина (МГЮА);55.7935966;37.56168160000001
Московский государственный юридический университет имени О.Е. Кутафина. Институт прокуратуры;55.8165894;37.5807233
Московский гуманитарно-экономический университет;55.72646410000001;37.60293639999999
Московский гуманитарный университет;55.7283739;37.81663929999999
Московский инновационный университет;55.8127985;37.69580609999999
Московский институт банковского дела;56.01344170000001;37.2019424
Московский институт государственного управления и права;55.6767647;37.6505917
Московский институт иностранных языков;55.7716802;37.6834399
Московский институт открытого образования;55.742188399999996;37.651700299999995
Московский институт права (учебный корпус №1);55.8169902;37.58270989999999
Московский институт психоанализа;55.7400701;37.5306865
Московский институт энергобезопасности и энергосбережения;55.79467559999999;37.785283299999996
Московский исламский университет;55.67168829999999;37.7452352
Московский налоговый институт;55.777526;37.5031599
Московский педагогический государственный университет;55.8154357;37.6492649
Московский политехнический университет;55.7802253;37.6627781
Московский политехнический университет. Отделение «На Садовой-Спасской»;55.7707895;37.6390299
Московский психолого-социальный университет;55.7075913;37.61164209999999
Московский теологический институт;55.7124274;37.8593445
Московский технический университет связи и информатики;55.76971869999999;37.59860439999999
Московский университет МВД;55.75429449999999;37.6396772
Московский университет МВД РФ имени В.Я. Кикотя;55.64447280000001;37.505765399999994
Московский университет МВД имени В.Я. Кикотя;55.7983825;37.744373599999996
Московский университет им. С. Ю. Витте;55.70041029999999;37.6549425
Московский финансово-юридический университет;55.799038599999996;37.53981749999999
Московский финансово-юридический университет МФЮА;55.6840382;37.59213239999999
Московский художественно-промышленный институт;55.76363369999999;37.682392
Московский центр развития кадрового потенциала образования;55.800011299999994;37.53973009999999
Московский юридический институт;55.8252592;37.599252799999995
Московское высшее военное командное училище;55.6765223;37.817975
НИИ Молекулярной медицины;55.7826156;37.5508587
НИИ по сельскохозяйственному использованию сточных вод;55.473087099999994;37.543785
Национальный институт дизайна;55.7266615;37.6389469
Национальный институт имени Екатерины Великой;55.78177620000001;37.7384963
"Национальный исследовательский университет ""Московский авиационный институт""";55.74893599999999;37.6523057
Национальный исследовательский университет «МЭИ»;55.7597901;37.707211
Национальный исследовательский университет «Московский институт электронной техники»;55.9840223;37.20769299999999
Национальный исследовательский ядерный университет «МИФИ»;55.6505244;37.6659779
Общевойсковая академия Вооружённых сил РФ;55.73820270000001;37.57802589999999
Отдел флоры;55.7067036;37.527415
Открытый институт - Высшая профессиональная школа;55.73696;37.688742999999995
Первый Московский государственный медицинский университет им. И. М. Сеченова;55.73353459999999;37.5786913
Первый московский государственный медицинский университет им. И. М. Сеченова;55.72808229999999;37.5742329
Православный Свято-Тихоновский гуманитарный университет;55.6587361;37.7174088
Православный Свято-Тихоновский гуманитарный университет в Москве;55.735929600000006;37.6331557
Приборостроительный факультет МГТУ им. Баумана;55.74116719999999;37.72517719999999
РГУ нефти и газа (НИУ) им. И. М. Губкина;55.691930000000006;37.5556902
РГУТиС;55.7262288;37.78506779999999
РЭУ им. Г. В. Плеханова;55.72391840000001;37.594751099999996
РЭУ им. Плеханова;55.86563679999999;37.478398199999994
РадиоВТУЗ МАИ;55.768257;37.66082049999999
Реавиз;55.81508379999999;37.6912708
Роботоцентр МГТУ;55.7931469;37.7750611
Российская Академия живописи, ваяния и зодчества Ильи Глазунова;55.7646664;37.6354027
Российская академия адвокатуры и нотариата;55.75230580000001;37.66124909999999
Российская академия музыки имени Гнесиных;55.75578689999999;37.5915171
Российская академия народного хозяйства и государственной службы;55.73786470000001;37.603251199999995
Российская академия народного хозяйства и государственной службы при Президенте РФ;55.7196684;37.613082
Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации;55.6670568;37.4765591
Российская академия образования;55.73396809999999;37.5702253
Российская государственная академия интеллектуальной собственности;55.64236330000001;37.5331367
Российская государственная специализированная академия искусств;55.7404219;37.5495827
Российская медицинская академия непрерывного профессионального образования;55.8670412;37.4763952
Российская международная академия туризма;55.7926431;37.749195099999994
Российская правовая академия Министерства юстиции Российской Федерации;55.6627249;37.6045684
Российская экономическая школа;55.698075599999996;37.3937278
Российский Государственный Социальный Университет;55.8353922;37.6348526
Российский Государственный Университет Правосудия;55.8000055;37.55155649999999
Российский Университет Медицины, лечебный факультет;55.7387032;37.7660259
Российский биотехнологический университет;55.8055914;37.4973778
Российский государственный геологоразведочный университет;55.650490399999995;37.5131028
Российский государственный гуманитарный университет;55.6875253;37.5970547
Российский государственный медицинский университет;55.731538599999986;37.57705429999999
Российский государственный социальный университет;55.825883100000006;37.719544
Российский государственный торгово-экономический университет;55.8248378;37.76096669999999
Российский государственный университет им. А. Н. Косыгина;55.717903500000006;37.6052974
Российский государственный университет им. А.Н. Косыгина. Технологии. Дизайн. Искусство;55.7449008;37.6374858
Российский государственный университет правосудия им. В.М. Лебедева;55.663327499999994;37.56206139999999
Российский государственный университет социальных технологий;55.82802769999999;37.7260653
Российский государственный университет физической культуры, спорта, молодёжи и туризма;55.8005056;37.763169999999995
Российский заочный институт текстильной и лёгкой промышленности;55.788452799999995;37.4879677
Российский институт театрального искусства — ГИТИС;55.754774;37.603477399999996
Российский национальный исследовательский медицинский университет имени Н. И. Пирогова;55.64746029999999;37.4902847
Российский новый университет;55.7626653;37.6821708
Российский православный университет;55.7575442;37.6278231
Российский православный университет святого Иоанна Богослова;55.7672658;37.61793850000001
Российский университет дружбы народов (РУДН);55.67903789999999;37.548857899999994
Российский университет медицины;55.7763515;37.6160671
Российский университет театрального искусства ГИТИС;55.74524009999998;37.6546115
Российский университет транспорта;55.78883389999999;37.6050466
Российский университет транспорта. Академия гражданской авиации;55.791861;37.60473569999999
Российский химико-технологический университет имени Д.И. Менделеева;55.819906;37.504689500000005
Российский экономический университет имени Г. В. Плеханова;55.7280739;37.62938369999999
Свято-Филаретовский православно-христианский институт;55.76071580000001;37.64818519999999
Синергия;55.81100399999998;37.5094706
Сколковский институт науки и технологии;55.698998800000005;37.3595849
Славяно-греко-латинская академия;55.73313470000001;37.7141835
Словацкий институт;55.7714456;37.5890854
Социально-экономический институт;55.7247028;37.7008995
Спецпроектреставрация;55.79147969999999;37.7631681
Спорткомплекс МГСУ;55.853770499999996;37.6951485
Столичная академия малого бизнеса;55.74898379999999;37.59189859999999
Стоматологический Комплекс МГМСУ;55.80878070000001;37.5566513
Театральный институт имени Бориса Щукина;55.75151890000001;37.5902629
Типография МГУ;55.69694530000001;37.5371538
"УКК ""МОСДОР""";55.7029036;37.7365955
Университет БРИКС;55.786469199999985;37.719189199999995
Университет МИСИС;55.7280693;37.608132899999994
Университет Прокуратуры Российской Федерации;55.763449;37.554622499999994
Университет РАО;55.73976410000001;37.54615199999999
Университет Российской академии образования;55.7304373;37.6225795
Университет Синергия;55.7837836;37.718984999999996
Университет мировых цивилизаций им. В.В. Жириновского;55.72732729999999;37.6100379
Университет правительства Москвы;55.82034939999999;37.5052726
Учебная часть ТСХА;55.8337571;37.547044699999994
Учебный центр НИУ ВШЭ Вороново;55.3150146;37.12469699999999
Факультет изобразительных искусств и дизайна;55.8401658;37.574556199999996
Факультет истории, политологии и права РГГУ;55.75646420000001;37.6210983
Факультет права НИУ ВШЭ;55.7554304;37.646430499999994
Финансовый университет;55.8123278;37.6355435
Финансовый университет при Правительстве РФ;55.78061710000001;37.579836400000005
Финансовый университет при Правительстве Российской Федерации;55.79399779999999;37.5619886
Финансовый университет при правительстве РФ, факультет ИТиАБД;55.718256000000004;37.79565339999999
Центральный университет;55.76866439999999;37.5891266
Школа дизайна НИУ ВШЭ;55.7287017;37.6351767
Школа-студия МХАТ;55.7596797;37.6123951
Юридический факультет МГУ;55.696614700000005;37.535528
