station;lat;lon
Хорошёвская;55.7766946;37.5191367
ЦСКА;55.786561;37.5332007
Царицыно;55.6214814;37.669238
Цветной бульвар;55.7708721;37.6179101
Черкизовская;55.8038807;37.7450321
Чертановская;55.640455;37.60669
Чеховская;55.7648327;37.609087
Чистые пруды;55.7658711;37.639028
Чкаловская;55.7567019;37.6569978
Шаболовская;55.7199872;37.6076956
Шипиловская;55.6210274;37.7436392
Шоссе Энтузиастов;55.7575686;37.7494868
Щукинская;55.8084608;37.4647008
Щёлковская;55.8093369;37.7985725
Электрозаводская;55.7817132;37.7037878
Юго-Восточная;55.7050362;37.8189764
Юго-Западная;55.6636469;37.4832189
Южная;55.622256;37.6092188
Ясенево;55.6063062;37.533407
Яхромская;55.8798821;37.5454418
