atm_id;name;lat;lon
71;VTB ATM;55.7629847;37.6288074
72;VTB ATM;55.7883753;37.7495188
73;VTB ATM;55.755479;37.4091763
74;VTB ATM;55.7061791;37.6574977
75;VTB ATM;55.7095339;37.622965
76;VTB ATM;55.8160098;37.799372
77;VTB ATM;55.7833637;37.5970999
78;VTB ATM;55.7193223;37.4171868
79;VTB ATM;55.7182336;37.4111313
80;VTB ATM;55.6054741;37.4903796
81;VTB ATM;55.7944357;37.5876988
82;VTB ATM;55.6122337;37.7220389
83;VTB ATM;55.6945184;37.6644587
84;VTB ATM;55.729902;37.6411642
85;VTB ATM;55.7600649;37.5772789
86;VTB ATM;55.5393978;37.5737317
87;VTB ATM;55.7716315;37.592825
88;VTB ATM;55.7358948;37.7634788
89;VTB ATM;55.6871523;37.6151249
90;VTB ATM;55.8189134;37.5736872
91;VTB ATM;55.7261548;37.4227536
92;VTB ATM;55.7508258;37.8162226
93;VTB ATM;55.8634659;37.4335383
94;VTB ATM;55.746097;37.3923296
95;VTB ATM;55.6437735;37.4997079
96;VTB ATM;55.7971028;37.518338
97;VTB ATM;55.8625364;37.6088538
98;VTB ATM;55.7421143;37.5999744
99;VTB ATM;55.8595805;37.4369719
100;VTB ATM;55.8864393;37.6572235
101;VTB ATM;55.606728;37.2854456
102;VTB ATM;55.6740415;37.7600229
103;VTB ATM;55.6234532;37.6099465
104;VTB ATM;55.8617195;37.4361558
105;VTB ATM;55.8076694;37.7982229
106;VTB ATM;55.689722;37.7366893
107;VTB ATM;55.6579248;37.7417641
108;VTB ATM;55.7729718;37.5850265
109;VTB ATM;55.4302344;36.8687745
110;VTB ATM;55.61238;37.6962248
111;VTB ATM;55.8389531;37.3786684
112;VTB ATM;55.7508117;37.7848125
113;VTB ATM;55.6796832;37.5464426
114;VTB ATM;55.8015698;37.2995722
115;VTB ATM;55.7087934;37.7327734
116;VTB ATM;55.8085556;37.5625266
117;VTB ATM;55.752906;37.5926994
118;VTB ATM;55.7528936;37.5926341
119;VTB ATM;55.7321201;37.6371038
120;VTB ATM;55.775722;37.4976379
121;VTB ATM;55.7717622;37.5022361
122;VTB ATM;55.6855772;37.5701965
123;VTB ATM;55.7029075;37.509809
124;VTB ATM;55.7009736;37.5033122
125;VTB ATM;55.6975179;37.5002499
126;VTB ATM;55.7567724;37.6607467
127;VTB ATM;55.7578272;37.6602927
128;VTB ATM;55.7923794;37.6362071
129;VTB ATM;55.728964;37.6227249
130;VTB ATM;55.7734967;37.5482807
131;VTB ATM;55.7514205;37.7883685
132;VTB ATM;55.7769281;37.581334
133;VTB ATM;55.7410346;37.6336983
134;VTB ATM;55.7458943;37.6814785
135;VTB ATM;55.7594317;37.6262388
136;VTB ATM;55.6532323;37.6207535
137;VTB ATM;55.8745612;37.6464677
138;VTB ATM;55.8861328;37.6612781
139;VTB ATM;55.7607734;37.7884077
140;VTB ATM;55.7295531;37.6394284
141;VTB ATM;55.7660307;37.6389872
142;VTB ATM;55.8390454;37.4873105
143;VTB ATM;55.7445935;37.8620008
144;VTB ATM;55.7818613;37.6333273
145;VTB ATM;55.7514904;37.8184027
146;VTB ATM;55.7676581;37.6217593
147;VTB ATM;55.8442528;37.5778721
148;VTB ATM;55.6139091;37.6938786
149;VTB ATM;55.6542822;37.6478862
150;VTB ATM;55.7210937;37.5603119
151;VTB ATM;55.7225537;37.5620548
152;VTB ATM;55.8364218;37.3813941
153;VTB ATM;55.6138244;37.7463189
154;VTB ATM;55.7832136;37.7193332
155;VTB ATM;55.6536892;37.6481433
156;VTB ATM;55.8034441;37.6507358
157;VTB ATM;55.6533065;37.5380787
158;VTB ATM;55.9958535;37.2157054
159;VTB ATM;55.816836;37.8659409
160;VTB ATM;55.6616337;37.7478999
161;VTB ATM;55.8074451;37.4063229
162;VTB ATM;55.7648603;37.6382747
163;VTB ATM;55.7576393;37.751854
164;VTB ATM;55.8298325;37.6341691
165;VTB ATM;55.8549859;37.653339
166;VTB ATM;55.762316;37.5854656
167;VTB ATM;55.7329431;37.6651973
168;VTB ATM;55.7758006;37.6355928
169;VTB ATM;55.8541765;37.476929
170;VTB ATM;55.7737912;37.6126747
171;VTB ATM;55.7283479;37.6447175
172;VTB ATM;55.7774646;37.5821685
173;VTB ATM;55.8906723;37.5353038
174;VTB ATM;55.6119693;37.2979953
175;VTB ATM;55.6089449;37.2897543
176;VTB ATM;55.6598353;37.5396734
177;VTB ATM;55.7923826;37.606041
178;VTB ATM;55.7092428;37.5575683
179;VTB ATM;55.7989797;37.3892034
180;VTB ATM;55.7923518;37.6766171
181;VTB ATM;55.8023411;37.4842111
182;VTB ATM;55.6413835;37.3661955
183;VTB ATM;55.6466933;37.2700616
184;VTB ATM;55.7293407;37.6113545
185;VTB ATM;55.6359132;37.3545381
186;VTB ATM;55.6507622;37.3948196
187;VTB ATM;55.7559021;37.6586318
188;VTB ATM;55.7722533;37.632486
189;VTB ATM;55.8026183;37.7448986
190;VTB ATM;55.7584128;37.6598699
191;VTB ATM;55.7838435;37.6289016
192;VTB ATM;55.8346327;37.3833478
193;VTB ATM;55.6133941;37.6050462
194;VTB ATM;55.6916441;37.5348629
195;VTB ATM;55.7543188;37.624687
196;VTB ATM;55.5746881;37.6568488
197;VTB ATM;55.7042809;37.6245159
198;VTB ATM;55.7736666;37.7239373
199;VTB ATM;55.7860645;37.6601489
200;VTB ATM;55.7409505;37.6561702
201;VTB ATM;55.6790772;37.6299003
202;VTB ATM;55.7298652;37.6392848
203;VTB ATM;55.6788699;37.5027832
204;VTB ATM;55.8115583;37.5852317
205;VTB ATM;55.7351729;37.5931101
206;VTB ATM;55.851215;37.4670029
207;VTB ATM;55.8513868;37.4397024
208;VTB ATM;55.8002005;37.5944167
209;VTB ATM;55.8064895;37.4803513
210;VTB ATM;55.7128204;37.6129613
211;VTB ATM;55.8039238;37.4872211
212;VTB ATM;55.5833799;37.5966912
213;VTB ATM;55.5833621;37.5968908
214;VTB ATM;55.7068104;37.5850148
215;VTB ATM;55.8774443;37.4812653
216;VTB ATM;55.8993323;37.5449211
217;VTB ATM;55.9206632;37.5461473
218;VTB ATM;55.6016166;37.5529948
219;VTB ATM;55.6132838;37.604929
220;VTB ATM;55.849519;37.4399638
221;VTB ATM;55.7717281;37.6655088
222;VTB ATM;55.6437238;37.5262864
223;VTB ATM;55.7764055;37.657751
224;VTB ATM;55.8284787;37.5802709
225;VTB ATM;55.7064783;37.591785
226;VTB ATM;55.7532686;37.7196939
227;VTB ATM;55.7676949;37.6066176
228;VTB ATM;55.6768506;37.7622641
229;VTB ATM;55.8197876;37.6404402
230;VTB ATM;55.5527004;37.4939746
231;VTB ATM;55.6475699;37.4811441
232;VTB ATM;55.647791;37.4811941
233;VTB ATM;55.6061159;37.2855504
234;VTB ATM;55.6898344;37.8527242
235;VTB ATM;55.7357686;37.5198497
236;VTB ATM;55.7373721;37.5175923
237;VTB ATM;55.6039166;37.4916376
238;VTB ATM;55.7616386;37.6243261
239;VTB ATM;55.6397629;37.6081888
240;VTB ATM;55.7108534;37.6567124
241;VTB ATM;55.7639273;37.562151
242;VTB ATM;55.7084886;37.5874899
243;VTB ATM;55.8446726;37.5759351
