mall;lat;lon
"Торговый дом ""Славич""";55.8156649;37.7156005
"Торговый дом ""Царицыно""";55.6124217;37.6977114
"Торговый дом ""на Мурановской""";55.8926474;37.5991123
Торговый дом «Ольга»;55.994834;37.1881999
Торговый дом Люкс;55.6762824;37.4703749
"Торговый комплекс ""Акварель""";55.4990833;37.5678623
"Торговый комплекс ""Волна""";55.7451877;37.8799764
"Торговый комплекс ""Горбушка""";55.7411702;37.5028418
"Торговый комплекс ""Депо Молл""";55.8190455;37.5781072
"Торговый комплекс ""Изумруд""";55.8899043;37.5943497
"Торговый комплекс ""Мегаполис""";55.84899;37.354029
"Торговый комплекс ""Митинский радиорынок""";55.844236;37.3836581
"Торговый комплекс ""Монтавр""";55.6373335;37.7929276
"Торговый комплекс ""Принц плаза""";55.6182359;37.5080281
"Торговый комплекс ""Твин Плаза""";55.6177495;37.505721
Торговый комплекс «Гран Плюс»;55.8830749;37.605557
Торговый комплекс «Охотный ряд»;55.7557775;37.6145998
"Торговый корпус ""Евромаг""";55.6465768;37.7156016
Торговый центр;55.7523956;37.82042
"Торговый центр ""Baby & Kid""";55.7842771;37.7151433
"Торговый центр ""Clever""";55.7542335;37.7525158
"Торговый центр ""EGOmall""";55.8703713;37.6380442
"Торговый центр ""Азовский""";55.6475796;37.5955487
"Торговый центр ""Александр Лэнд""";55.8855958;37.6021837
"Торговый центр ""Альмирал-1""";55.6622229;37.4802092
"Торговый центр ""Альмирал-2""";55.6615697;37.481466
"Торговый центр ""Апельсин""";55.5673911;37.5620778
"Торговый центр ""Ареал""";55.8976162;37.5884178
"Торговый центр ""Арфа""";55.6990693;37.5126309
"Торговый центр ""Астория""";55.6924124;37.7274993
"Торговый центр ""Бенефис""";55.8067079;37.4064064
"Торговый центр ""Бибиревский""";55.8848055;37.6009488
"Торговый центр ""Борисовский""";55.6245232;37.7091867
"Торговый центр ""Братеевский""";55.637685;37.7575427
"Торговый центр ""Бриз""";55.7036684;37.6857837
"Торговый центр ""Бусинка""";55.8829151;37.4958668
"Торговый центр ""Варшавский""";55.6536827;37.6207051
"Торговый центр ""Вега""";55.8387667;37.5721594
"Торговый центр ""Вешняковский пассаж""";55.7204263;37.8220839
"Торговый центр ""Визит""";55.7156895;37.8815249
"Торговый центр ""Водный""";55.8402379;37.4915936
"Торговый центр ""Времена года""";55.731738;37.4873238
"Торговый центр ""Гвоздь-2""";55.6758184;37.6618892
"Торговый центр ""Город"", 1-я очередь";55.7297296;37.730997
"Торговый центр ""Город"", 2-я очередь";55.7293983;37.7347125
"Торговый центр ""Да""";55.7108376;37.8121486
"Торговый центр ""Домодедовский""";55.609744;37.7199401
"Торговый центр ""Дружба""";55.7798552;37.6013662
"Торговый центр ""Елоховский Пассаж""";55.7721823;37.6781591
"Торговый центр ""Западный""";55.7554203;37.4027246
"Торговый центр ""Звёздочка""";55.6650981;37.4815842
"Торговый центр ""Зебра""";55.716705;37.8873909
"Торговый центр ""Зеленый""";55.8131841;37.6037278
"Торговый центр ""Зенит""";55.7906971;37.6800927
"Торговый центр ""Зодиак""";55.8939534;37.5251247
"Торговый центр ""Золотой век""";55.7481234;37.7666186
"Торговый центр ""Калужский""";55.6556957;37.5421767
"Торговый центр ""Кантемировский""";55.6377896;37.6562505
"Торговый центр ""Капитолий""";55.8809285;37.4496309
"Торговый центр ""Каспий""";55.6389864;37.6039157
"Торговый центр ""Каширский""";55.6542308;37.6460101
"Торговый центр ""Квадрат""";55.5700014;37.5806633
"Торговый центр ""Клиффстор""";55.5675459;37.5737519
"Торговый центр ""Ключевой""";55.6399526;37.7581408
"Торговый центр ""Клён""";55.8758343;37.6655088
"Торговый центр ""Ковчег""";55.8467744;37.3620252
"Торговый центр ""Кожуховский""";55.7117304;37.8984981
"Торговый центр ""Компас""";55.850952;37.6791726
"Торговый центр ""Косино парк""";55.7148688;37.8833523
"Торговый центр ""Краски""";55.7059562;37.9251802
"Торговый центр ""Красная пресня""";55.772785;37.5331434
"Торговый центр ""Крона""";55.8410143;37.4873652
"Торговый центр ""Круг""";55.5696679;37.5790473
"Торговый центр ""Крутицы""";55.7431152;37.863905
"Торговый центр ""Крылатский""";55.7592813;37.4092146
"Торговый центр ""Лейпциг""";55.630284;37.4745266
"Торговый центр ""Лианозово""";55.8973848;37.5541789
"Торговый центр ""Лухмановский 24А""";55.7222799;37.9053625
"Торговый центр ""Лухмановский 36""";55.7235659;37.9097018
"Торговый центр ""Мандарин""";55.8550625;37.3554623
"Торговый центр ""Марка""";55.8791557;37.5795901
"Торговый центр ""Мегаполис""";55.6958796;37.6649521
"Торговый центр ""Меримис""";55.5962719;37.6028912
"Торговый центр ""Миг""";55.7400017;37.861107
"Торговый центр ""Мирус авто""";55.7265914;37.381272
"Торговый центр ""Митино""";55.8477563;37.359936
"Торговый центр ""Монарх""";55.7835734;37.5602316
"Торговый центр ""Море""";55.6770233;37.800166
"Торговый центр ""Москва""";55.6735461;37.7807728
"Торговый центр ""Мост""";55.7085565;37.7309875
"Торговый центр ""Моя ветка""";55.7358789;37.8300433
"Торговый центр ""На Беговой""";55.7743638;37.5460966
"Торговый центр ""На Фрязевской""";55.7450241;37.8172884
"Торговый центр ""Наутилус""";55.7591075;37.6247495
"Торговый центр ""Нахимовский""";55.6686271;37.5916521
"Торговый центр ""Небо""";55.6432369;37.3985021
"Торговый центр ""Некрасовка""";55.7018446;37.9316161
"Торговый центр ""Нептун""";55.6407845;37.6033477
"Торговый центр ""Новый Век""";55.7377636;37.8570749
"Торговый центр ""Оранжевый Мир""";55.8515333;37.4382736
"Торговый центр ""Ореховский""";55.6223709;37.7016989
"Торговый центр ""Панорама""";55.7352315;37.829912
"Торговый центр ""Парагон""";55.7949149;37.7837091
"Торговый центр ""Перекрёсток""";55.8004558;37.3960725
"Торговый центр ""Петровский""";55.6412021;37.3597421
"Торговый центр ""Прага""";55.6009076;37.6092913
"Торговый центр ""Праздник""";55.8265936;37.4449086
"Торговый центр ""Радуга""";55.7385338;37.6666617
"Торговый центр ""Россошанка""";55.5931886;37.611564
"Торговый центр ""Рублевский""";55.7541778;37.4068229
"Торговый центр ""Рязанский""";55.7181438;37.784052
"Торговый центр ""Садовод""";55.6528268;37.828885
"Торговый центр ""Свод""";55.6401951;37.6068275
"Торговый центр ""Серебряный Дом""";55.7819776;37.704064
"Торговый центр ""Солнечный ветер""";55.805545;37.4144577
"Торговый центр ""Солнечный""";55.6588323;37.4019119
"Торговый центр ""Сомбреро""";55.5945397;37.5992798
"Торговый центр ""Станция""";55.5424651;37.5723659
"Торговый центр ""Столица""";55.6045618;37.3568257
"Торговый центр ""Сфера""";55.7532319;37.5759752
"Торговый центр ""Терлецкий""";55.7646898;37.8248416
"Торговый центр ""Тиара""";55.6974785;37.5003037
"Торговый центр ""Тимирязевский""";55.8194516;37.5784778
"Торговый центр ""Тишинка""";55.7691308;37.5831998
"Торговый центр ""Торговый дом""";55.6031986;37.1680229
"Торговый центр ""Точка""";55.7252292;37.7612119
"Торговый центр ""Три D""";55.7352628;37.7015805
"Торговый центр ""Трио""";55.740968;37.8515234
"Торговый центр ""Тропарёво""";55.6305241;37.4820588
"Торговый центр ""Тук-Тук""";55.8525463;37.3518279
"Торговый центр ""Ханой-Москва""";55.8778512;37.7308245
"Торговый центр ""Цоколь""";55.6027875;37.168527
"Торговый центр ""Шангал""";55.7508395;37.8203277
"Торговый центр ""Шоколад""";55.7404314;37.6588316
"Торговый центр ""Шолохов""";55.636784;37.3543591
"Торговый центр ""Штаер""";55.6404775;37.6083848
"Торговый центр ""Южное Бутово""";55.5485224;37.5425072
"Торговый центр ""Ярославчик""";55.87912;37.7201903
"Торговый центр ""Ясный""";55.5987959;37.72531
Торговый центр «Бусиново»;55.8817267;37.4888584
Торговый центр «Водный Мир»;55.8691242;37.4692955
Торговый центр «Гвоздь»;55.8306645;37.3968754
Торговый центр «Капитолий»;55.6408803;37.5306766
Торговый центр «Конфетти»;55.6787694;37.6427646
Торговый центр «Львово»;55.2763142;37.1140128
Торговый центр «МЦ»;55.6401099;37.5328602
Торговый центр «Метрополис»;55.8234014;37.4970661
Торговый центр «Панорама»;55.6714791;37.5540558
Торговый центр «Перово Молл»;55.7452567;37.7976881
Торговый центр «Перовский»;55.7414385;37.8188191
Торговый центр «У Речного»;55.8556918;37.4771442
Торговый центр «Филёвский»;55.7517592;37.514143
Торговый центр «Черемушки»;55.6701261;37.5525049
Торговый центр «Юго-западный»;55.6640975;37.4821912
Торговый центр Асеева;55.8073811;37.5294943
Торговый центр Москва;55.6163657;37.7162523
Торговый центр Севастополь;55.650943;37.5959508
Трамплин;55.7410626;37.4154077
"Транспортно-пересадочный узел ""Планерная""";55.8628147;37.4351082
Три кабана;55.7063055;37.7653653
Триумфальный;55.6831107;37.5491583
Универ Сити;55.6933088;37.5339438
Уютный дом;55.5718475;37.4518262
Феникс;55.7006142;37.8548311
Фермер Центр;55.703257;37.7262246
Фестиваль;55.6778767;37.4671426
Фея;55.6149303;37.721292
Фортуна;55.8866388;37.6603157
Фотостудия Татвидео;55.6517362;37.6188446
Фудмолл «Привоз»;55.6867516;37.8520106
ХЦ Бухарест;55.6553864;37.5720672
Хорошо!;55.7771044;37.5237413
Царицыно;55.6223766;37.6677181
"Центр дизайна ""Ленинградский""";55.828066;37.4892713
Час Пик;55.8986493;37.6294872
Черкизовский пассаж;55.8039385;37.7446719
Черёмушки;55.6918722;37.5891495
Щелчок;55.8105918;37.7978313
Эльбрус;55.6309295;37.6706801
Южные ворота;55.6218777;37.7833109
Южный (вещевой);55.6219491;37.611489
Южный полюс;55.5864317;37.6483332
Ясенево;55.6119451;37.5377265
"торговый центр ""Альтаир-1""";55.7130205;37.8210018
"торговый центр ""Маяк""";55.7126179;37.8163843
